name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW250109_074552,GW250109_074552-v1,1420443970.4,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250109_074552-v1,39.0,-6.3,8.3,30.2,-7.2,6.8,10.7,,,2300.0,-1100.0,1400.0,0.07,-0.2,0.2,69.2,-8.6,10.5,29.6,-3.8,4.7,,,,0.41,-0.18,0.2,0.42,,,0.95,,,65.9,-8.1,9.8
GW250109_010541,GW250109_010541-v1,1420419959.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250109_010541-v1,37.5,-7.1,14.7,27.4,-8.9,8.0,13.1,,,3400.0,-1700.0,1700.0,-0.11,-0.29,0.27,64.9,-8.6,14.7,27.4,-3.9,6.4,,,,0.56,-0.25,0.22,1e-05,,,0.99,,,62.2,-8.2,14.0
GW250108_152221,GW250108_152221-v1,1420384959.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250108_152221-v1,54.0,-12.0,15.0,36.0,-10.0,10.0,11.8,,,3800.0,-1900.0,2400.0,0.05,-0.28,0.28,90.0,-13.0,17.0,37.6,-5.5,7.7,,,,0.63,-0.28,0.3,0.00015,,,0.99,,,86.0,-12.0,17.0
GW250105_134047,GW250105_134047-v1,1420119665.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250105_134047-v1,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,10.0,,,0.51,,,,,
GW250104_015122,GW250104_015122-v1,1419990700.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250104_015122-v1,45.8,-8.8,11.0,34.5,-9.9,10.7,12.1,,,4800.0,-2300.0,2500.0,0.11,-0.23,0.22,80.0,-11.0,18.0,33.9,-5.2,8.1,,,,0.76,-0.32,0.31,1e-05,,,0.99,,,76.0,-11.0,17.0
GW250101_011205,GW250101_011205-v1,1419729143.0,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250101_011205-v1,30.0,-5.8,8.8,21.1,-7.2,5.9,9.8,,,3200.0,-1500.0,1700.0,-0.05,-0.31,0.24,50.8,-6.6,9.3,21.5,-3.3,4.1,,,,0.54,-0.23,0.23,0.02,,,0.99,,,48.7,-6.2,8.8
GW241231_054133,GW241231_054133-v1,1419658911.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241231_054133-v1,12.4,-2.8,3.3,7.1,-1.3,2.0,17.4,,,910.0,-330.0,190.0,0.08,-0.08,0.12,19.6,-1.2,2.0,8.08,-0.22,0.43,,,,0.18,-0.06,0.03,1e-05,,,0.99,,,18.7,-1.3,2.1
GW241230_233618,GW241230_233618-v1,1419636996.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241230_233618-v1,68.0,-14.0,17.0,49.0,-19.0,16.0,12.2,,,2700.0,-1300.0,2100.0,-0.14,-0.29,0.25,116.0,-18.0,23.0,49.3,-9.7,10.8,,,,0.47,-0.2,0.29,0.48,,,0.95,,,112.0,-18.0,22.0
GW241230_084504,GW241230_084504-v1,1419583522.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241230_084504-v1,42.4,-6.7,9.5,33.5,-8.3,7.7,11.1,,,2900.0,-1300.0,1400.0,-0.14,-0.23,0.21,75.6,-8.9,12.9,32.4,-4.0,5.7,,,,0.5,-0.2,0.19,1e-05,,,0.99,,,72.4,-8.4,12.1
GW241229_155844,GW241229_155844-v1,1419523142.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241229_155844-v1,52.0,-15.0,22.0,33.0,-15.0,16.0,8.7,,,6800.0,-3400.0,5200.0,0.05,-0.32,0.31,85.0,-19.0,27.0,35.0,-8.5,12.3,,,,1.0,-0.44,0.59,0.083,,,0.99,,,82.0,-18.0,26.0
GW241225_082815,GW241225_082815-v1,1419150513.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241225_082815-v1,55.7,-8.5,11.0,42.2,-9.4,8.4,19.5,,,1880.0,-880.0,1080.0,-0.17,-0.22,0.21,98.0,-11.0,14.0,41.8,-5.2,6.1,,,,0.34,-0.15,0.16,1e-05,,,0.99,,,94.0,-11.0,13.0
GW241225_042553,GW241225_042553-v1,1419135971.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241225_042553-v1,12.4,-2.3,3.0,8.1,-1.5,1.5,16.5,,,660.0,-270.0,190.0,0.12,-0.05,0.09,20.6,-1.1,1.7,8.65,-0.26,0.42,,,,0.14,-0.05,0.04,1e-05,,,0.99,,,19.6,-1.1,1.8
GW241220_062146,GW241220_062146-v1,1418710924.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241220_062146-v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,9.4,,,0.57,,,,,
GW241219_222607,GW241219_222607-v1,1418682385.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241219_222607-v1,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,7.900000000000001,,,0.56,,,,,
GW241210_120900,GW241210_120900-v1,1417867758.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241210_120900-v1,40.0,-11.0,15.0,23.6,-8.0,9.2,9.0,,,3600.0,-1800.0,3000.0,-0.07,-0.3,0.24,64.0,-12.0,15.0,26.3,-4.9,6.4,,,,0.59,-0.26,0.38,0.28,,,0.97,,,62.0,-12.0,14.0
GW241210_060606,GW241210_060606-v1,1417845984.8,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241210_060606-v1,29.0,-5.2,8.2,21.4,-5.5,5.5,13.4,,,2600.0,-1200.0,1200.0,0.04,-0.19,0.22,50.2,-5.7,9.4,21.3,-2.4,4.1,,,,0.45,-0.19,0.17,1e-05,,,0.99,,,47.9,-5.5,8.8
GW241210_023335,GW241210_023335-v1,1417833233.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241210_023335-v1,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,1.9000000000000001,,,0.87,,,,,
GW241201_142737,GW241201_142737-v1,1417098475.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241201_142737-v1,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,7.6000000000000005,,,0.66,,,,,
GW241201_055758,GW241201_055758-v1,1417067896.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241201_055758-v1,47.0,-12.0,19.0,33.0,-13.0,13.0,9.0,,,7100.0,-3800.0,4700.0,0.13,-0.36,0.36,80.0,-16.0,24.0,33.5,-7.5,10.7,,,,1.03,-0.48,0.53,0.83,,,0.92,,,76.0,-15.0,23.0
GW241130_110422,GW241130_110422-v1,1416999880.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241130_110422-v1,11.1,-2.5,5.2,6.5,-1.9,1.8,10.3,,,1320.0,-570.0,530.0,0.04,-0.1,0.2,17.8,-1.7,3.4,7.31,-0.48,0.64,,,,0.25,-0.1,0.09,0.00055,,,0.99,,,17.0,-1.7,3.5
GW241130_034908,GW241130_034908-v1,1416973766.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241130_034908-v1,29.9,-4.1,5.8,24.3,-4.1,4.1,13.8,,,1990.0,-930.0,990.0,0.05,-0.15,0.15,54.2,-5.1,6.7,23.3,-2.2,2.9,,,,0.36,-0.15,0.15,1e-05,,,0.99,,,51.6,-4.9,6.3
GW241129_140416,GW241129_140416-v1,1416924274.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241129_140416-v1,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,16.0,,,0.51,,,,,
GW241129_021832,GW241129_021832-v1,1416881930.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241129_021832-v1,30.4,-4.5,6.8,23.0,-4.8,4.5,16.7,,,2550.0,-910.0,740.0,0.17,-0.16,0.16,53.3,-4.2,6.1,22.7,-1.7,2.8,,,,0.45,-0.14,0.11,1e-05,,,0.99,,,50.6,-3.9,5.7
GW241127_061008,GW241127_061008-v1,1416723026.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241127_061008-v1,63.8,-7.7,8.7,20.8,-3.4,6.5,31.3,,,1080.0,-180.0,220.0,-0.16,-0.14,0.13,85.3,-5.6,6.0,30.8,-2.0,3.6,,,,0.21,-0.03,0.04,1e-05,,,0.99,,,83.0,-5.4,6.2
GW241125_010116,GW241125_010116-v1,1416531694.8,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241125_010116-v1,60.0,-13.0,14.0,47.0,-17.0,14.0,11.0,,,4700.0,-2200.0,3900.0,0.09,-0.27,0.27,106.0,-22.0,23.0,45.0,-10.0,10.0,,,,0.74,-0.3,0.47,1.1e-05,,,0.99,,,101.0,-20.0,22.0
GW241124_024914,GW241124_024914-v1,1416451772.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241124_024914-v1,42.0,-12.0,32.0,26.0,-11.0,11.0,8.7,,,4500.0,-2300.0,4000.0,0.04,-0.29,0.33,70.0,-15.0,26.0,28.4,-6.1,8.6,,,,0.72,-0.31,0.48,0.78,,,0.94,,,67.0,-15.0,26.0
GW241116_151753,GW241116_151753-v1,1415805491.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241116_151753-v1,70.0,-28.0,57.0,24.0,-13.0,26.0,10.5,,,5700.0,-2900.0,5600.0,0.28,-0.48,0.34,99.0,-30.0,48.0,34.0,-9.6,18.8,,,,0.87,-0.39,0.64,0.0044,,,0.99,,,95.0,-29.0,48.0
GW241114_235258,GW241114_235258-v1,1415663596.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241114_235258-v1,11.3,-1.9,5.2,7.7,-2.2,1.5,12.4,,,790.0,-350.0,300.0,0.06,-0.08,0.18,19.1,-1.3,2.9,8.04,-0.37,0.5,,,,0.16,-0.07,0.05,1e-05,,,0.99,,,18.2,-1.2,3.0
GW241114_024711,GW241114_024711-v1,1415587649.8,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241114_024711-v1,47.0,-11.0,9.7,25.0,-7.3,8.2,11.3,,,2600.0,-1000.0,1600.0,0.12,-0.24,0.21,71.9,-9.5,9.9,29.2,-4.3,4.7,,,,0.45,-0.16,0.22,1e-05,,,0.99,,,68.9,-9.3,9.4
GW241113_163507,GW241113_163507-v1,1415550925.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241113_163507-v1,19.3,-3.0,5.4,14.4,-3.3,2.7,12.5,,,1360.0,-630.0,670.0,0.5,-0.11,0.11,33.9,-3.0,3.9,14.4,-1.1,1.5,,,,0.26,-0.11,0.11,1e-05,,,0.99,,,31.7,-2.8,3.7
GW241111_111552,GW241111_111552-v1,1415358970.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241111_111552-v1,25.3,-3.3,4.4,20.5,-4.2,3.9,16.3,,,1550.0,-740.0,580.0,0.1,-0.14,0.15,45.4,-3.7,5.9,19.5,-1.6,2.7,,,,0.29,-0.13,0.09,1e-05,,,0.99,,,43.2,-3.4,5.4
GW241110_124123,GW241110_124123-v2,1415277701.7,2,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241110_124123-v2,16.4,-4.1,5.1,8.0,-1.6,2.2,10.2,,,740.0,-260.0,260.0,-0.31,-0.18,0.23,24.5,-2.2,3.5,9.84,-0.42,0.5,,,,0.15,-0.05,0.05,0.00063,,,0.99,,,23.7,-2.2,3.6
GW241109_115924,GW241109_115924-v1,1415188782.9,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241109_115924-v1,7.3,-1.1,2.8,5.14,-1.26,0.9,11.9,,,600.0,-290.0,230.0,0.01,-0.05,0.16,12.51,-0.68,1.51,5.29,-0.2,0.28,,,,0.12,-0.06,0.04,0.00011999999999999999,,,0.99,,,11.94,-0.66,1.58
GW241109_033317,GW241109_033317-v1,1415158416.0,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241109_033317-v1,42.4,-8.5,11.3,31.7,-9.4,9.3,11.3,,,2700.0,-1500.0,2000.0,0.01,-0.24,0.22,74.0,-11.0,16.0,31.4,-5.2,7.0,,,,0.46,-0.24,0.28,0.0013,,,0.99,,,70.0,-11.0,15.0
GW241109_005349,GW241109_005349-v1,1415148847.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241109_005349-v1,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,7.400000000000001,,,0.56,,,,,
GW241106_110932,GW241106_110932-v1,1414926590.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241106_110932-v1,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,3.8999999999999995,,,0.73,,,,,
GW241102_144729,GW241102_144729-v1,1414594067.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241102_144729-v1,44.4,-8.6,12.3,31.0,-11.1,9.9,12.7,,,3400.0,-1600.0,2000.0,-0.09,-0.27,0.21,75.1,-9.8,13.6,31.5,-4.8,6.5,,,,0.57,-0.23,0.26,1e-05,,,0.99,,,72.0,-9.4,12.7
GW241102_124058,GW241102_124058-v1,1414586476.8,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241102_124058-v1,10.9,-1.4,3.2,8.0,-1.7,1.2,21.7,,,390.0,-112.0,59.0,0.06,-0.04,0.11,19.01,-0.47,1.45,8.12,-0.09,0.17,,,,0.08,-0.02,0.01,1e-05,,,0.99,,,18.1,-0.46,1.54
GW241101_220523,GW241101_220523-v1,1414533941.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241101_220523-v1,41.0,-12.0,13.0,19.3,-5.7,9.8,10.6,,,2200.0,-1000.0,1400.0,0.15,-0.29,0.33,60.2,-9.2,12.7,23.6,-3.1,5.8,,,,0.39,-0.17,0.21,0.00055,,,0.99,,,57.7,-9.0,11.9
GW241101_034726,GW241101_034726-v1,1414468064.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241101_034726-v1,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,2.1,,,0.87,,,,,
GW241018_235402,GW241018_235402-v1,1413330860.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241018_235402-v1,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,1.7999999999999998,,,0.98,,,,,
GW241011_233834,GW241011_233834-v2,1412725133.0,2,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241011_233834-v2,19.5,-2.0,2.6,5.96,-0.58,0.58,35.8,,,212.0,-41.0,43.0,0.5,-0.04,0.06,25.5,-1.5,2.0,9.09,-0.08,0.08,,,,0.05,-0.01,0.01,1e-05,,,0.99,,,24.4,-1.5,2.1
GW241009_220455,GW241009_220455-v1,1412546713.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241009_220455-v1,33.2,-6.6,8.1,25.5,-8.1,5.9,10.0,,,2900.0,-1300.0,2200.0,0.11,-0.25,0.23,58.9,-10.9,9.3,25.2,-5.1,4.0,,,,0.5,-0.2,0.3,0.023,,,0.99,,,56.0,-10.2,8.7
GW241009_084816,GW241009_084816-v1,1412498914.8,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241009_084816-v1,12.7,-2.5,4.0,8.1,-1.9,1.9,12.1,,,1130.0,-480.0,580.0,-0.05,-0.08,0.14,21.0,-1.9,2.3,8.78,-0.65,0.67,,,,0.22,-0.09,0.1,1e-05,,,0.99,,,20.1,-1.9,2.4
GW241009_022835,GW241009_022835-v1,1412476133.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241009_022835-v1,37.1,-8.9,14.1,26.8,-9.5,10.2,8.4,,,5600.0,-2800.0,3800.0,0.09,-0.25,0.26,64.0,-13.0,19.0,27.1,-5.6,8.2,,,,0.85,-0.37,0.45,0.9699999999999999,,,0.99,,,61.0,-12.0,18.0
GW241007_082943,GW241007_082943-v1,1412325001.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241007_082943-v1,36.6,-7.7,13.5,26.6,-7.9,8.4,9.8,,,4000.0,-2000.0,2300.0,0.11,-0.26,0.26,63.2,-9.8,15.7,26.7,-4.3,6.8,,,,0.65,-0.29,0.29,0.042,,,0.99,,,60.1,-9.3,14.9
GW241006_015333,GW241006_015333-v1,1412214831.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241006_015333-v1,24.6,-2.8,4.2,20.3,-3.1,2.8,17.6,,,1850.0,-710.0,650.0,0.07,-0.13,0.13,44.9,-3.0,4.2,19.4,-1.3,1.8,,,,0.34,-0.12,0.1,1e-05,,,0.99,,,42.7,-2.9,4.0
GW241002_030559,GW241002_030559-v1,1411873577.7,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW241002_030559-v1,37.3,-5.5,8.4,29.9,-7.1,5.6,11.9,,,1460.0,-680.0,950.0,-0.1,-0.23,0.2,67.2,-7.7,8.8,28.8,-3.4,3.9,,,,0.28,-0.12,0.15,1e-05,,,0.99,,,64.2,-7.2,8.2
GW240930_234614,GW240930_234614-v1,1411775192.9,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240930_234614-v1,35.8,-8.9,14.0,21.9,-7.2,7.2,11.3,,,3600.0,-2000.0,2600.0,0.04,-0.3,0.27,58.0,-9.2,12.3,23.9,-3.7,4.9,,,,0.6,-0.3,0.33,0.24,,,0.98,,,55.5,-8.9,12.0
GW240930_123408,GW240930_123408-v1,1411734866.6,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240930_123408-v1,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,2.9,,,0.81,,,,,
GW240930_035959,GW240930_035959-v1,1411704018.0,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240930_035959-v1,25.5,-4.8,5.0,11.2,-1.8,2.1,16.1,,,950.0,-290.0,490.0,-0.05,-0.13,0.14,36.8,-3.4,3.8,14.5,-0.98,0.77,,,,0.19,-0.05,0.08,1e-05,,,0.99,,,35.5,-3.4,3.8
GW240925_005809,GW240925_005809-v2,1411261108.0,2,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240925_005809-v2,9.02,-0.99,1.97,6.99,-1.27,0.83,31.2,,,356.0,-162.0,61.0,0.02,-0.02,0.08,16.07,-0.44,0.71,6.85,-0.08,0.22,,,,0.08,-0.03,0.01,1e-05,,,0.99,,,15.32,-0.44,0.75
GW240925_000956,GW240925_000956-v1,1411258214.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240925_000956-v1,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,6.5,,,0.61,,,,,
GW240924_000316,GW240924_000316-v1,1411171414.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240924_000316-v1,46.0,-9.9,14.3,34.0,-10.0,11.0,11.4,,,3700.0,-1700.0,2600.0,0.1,-0.24,0.23,80.0,-14.0,19.0,34.2,-6.3,8.4,,,,0.61,-0.25,0.34,2e-05,,,0.99,,,76.0,-14.0,18.0
GW240923_204006,GW240923_204006-v1,1411159224.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240923_204006-v1,46.1,-7.9,10.3,34.9,-10.6,9.9,13.6,,,4000.0,-1900.0,1800.0,0.01,-0.21,0.2,79.9,-9.6,16.2,34.1,-4.8,7.3,,,,0.65,-0.27,0.24,1e-05,,,0.99,,,76.3,-9.1,15.1
GW240923_110846,GW240923_110846-v1,1411124944.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240923_110846-v1,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,8.5,,,0.61,,,,,
GW240923_000715,GW240923_000715-v1,1411085253.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240923_000715-v1,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,1.6,,,0.78,,,,,
GW240922_142106,GW240922_142106-v1,1411050084.4,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW240922_142106-v1,11.5,-2.0,3.9,7.8,-1.8,1.5,12.5,,,1230.0,-500.0,340.0,0.07,-0.06,0.12,19.3,-1.2,2.2,8.12,-0.37,0.63,,,,0.24,-0.09,0.06,1e-05,,,0.99,,,18.4,-1.2,2.3
